contour_line_index,score_contour,contour_segment,vertex_count,sample_count,resolved_sample_count,unresolved_sample_count,used_arclength_fallback,total_two_nearest_distance_degrees,mean_two_nearest_distance_degrees,median_two_nearest_distance_degrees,unique_first_neighbor_line_count,unique_second_neighbor_line_count,pressure_level_hpa
1,5.0,1,126,84,84,0,False,613.9935813546181,7.309447397078786,7.38479220867157,2,4,850.0
2,5.0,2,205,177,177,0,False,1487.528454899788,8.404115564405581,8.77701449394226,2,3,850.0
3,5.0,3,101,91,91,0,False,1371.9918351471424,15.076833353265302,16.79047203063965,2,4,850.0
4,5.0,4,813,759,759,0,False,10350.486504107714,13.637004616742706,13.425389289855957,3,4,850.0
5,5.0,5,386,300,300,0,False,4782.653141260147,15.942177137533823,13.549599409103394,2,3,850.0
6,10.0,0,729,585,585,0,False,4261.236659526825,7.284165229960385,7.323160886764526,2,3,850.0
7,10.0,1,150,95,95,0,False,487.0085303783417,5.126405582929912,4.762691497802734,2,4,850.0
8,10.0,2,275,236,236,0,False,1418.9712334275246,6.012589972150528,5.7611740827560425,2,4,850.0
9,10.0,3,249,177,177,0,False,2693.72602596879,15.218791107168306,14.443137645721436,3,4,850.0
10,10.0,4,1380,1208,1208,0,False,12212.112895518541,10.109364979733892,9.15276312828064,4,6,850.0
11,15.0,0,1044,820,820,0,False,6735.068222403526,8.213497832199423,6.743486523628235,2,3,850.0
12,15.0,1,172,104,104,0,False,494.71000865101814,4.7568270062597895,4.107098340988159,3,2,850.0
13,15.0,2,354,307,307,0,False,1754.9574363529682,5.716473734048757,5.2762086391448975,3,3,850.0
14,15.0,3,314,205,205,0,False,2356.1771838366985,11.493547238227798,10.60250973701477,3,4,850.0
15,15.0,4,1485,1222,1222,0,False,11493.523607164621,9.405502133522603,8.308090806007385,3,5,850.0
16,20.0,0,275,173,173,0,False,1420.2674385607243,8.209638373183378,5.815788269042969,4,4,850.0
17,20.0,1,1557,1241,1241,0,False,8226.405823141336,6.62885239576256,6.3022356033325195,4,7,850.0
18,20.0,2,1756,1440,1440,0,False,11923.596005439758,8.28027500377761,7.383378863334656,2,5,850.0
19,20.0,3,51,34,34,0,False,490.71627140045166,14.43283151177799,14.41314435005188,1,1,850.0
20,25.0,0,123,59,59,0,False,774.240237236023,13.122715885356321,13.760855197906494,3,5,850.0
21,25.0,1,2178,1580,1580,0,False,12480.25444471836,7.898895218176178,6.726684808731079,5,8,850.0
22,25.0,2,1792,1440,1440,0,False,10707.927657961845,7.436060873584615,6.771445870399475,2,3,850.0
23,30.0,0,2020,1464,1464,0,False,11069.789165377617,7.561331397115858,7.484581828117371,2,5,850.0
24,30.0,1,1826,1440,1440,0,False,10433.411431074142,7.245424604912599,6.7979512214660645,2,3,850.0
25,35.0,0,1942,1440,1440,0,False,11126.692080616951,7.726869500428438,7.003189325332642,2,4,850.0
26,35.0,1,1828,1440,1440,0,False,10267.054427862167,7.1298989082376165,6.227675795555115,2,2,850.0
27,40.0,0,1919,1440,1440,0,False,11150.637129068375,7.743498006297482,7.0791908502578735,2,4,850.0
28,40.0,1,1830,1440,1440,0,False,9883.274800419807,6.863385278069311,6.270545244216919,2,2,850.0
29,45.0,0,1908,1440,1440,0,False,12125.921010375023,8.4207784794271,6.810284376144409,2,4,850.0
30,45.0,1,1826,1440,1440,0,False,9351.80220258236,6.494307085126638,6.327241539955139,2,2,850.0
31,50.0,0,1906,1440,1440,0,False,10682.95196568966,7.418716642840041,6.909904360771179,2,4,850.0
32,50.0,1,1814,1440,1440,0,False,9333.991198301315,6.481938332153691,6.130941867828369,2,2,850.0
33,55.0,0,1948,1440,1440,0,False,10091.721311569214,7.008139799700843,6.478334307670593,2,3,850.0
34,55.0,1,1818,1440,1440,0,False,10216.87662756443,7.09505321358641,6.938309073448181,2,3,850.0
35,60.0,0,1952,1440,1440,0,False,9777.56057536602,6.789972621781958,5.914438843727112,2,4,850.0
36,60.0,1,1892,1444,1444,0,False,11679.632284879684,8.088388008919448,7.5742305517196655,3,5,850.0
37,60.0,2,145,92,92,0,False,1335.4353966712952,14.515602137731468,13.245656490325928,2,3,850.0
38,65.0,0,1874,1440,1440,0,False,9399.555632352829,6.527469189133909,5.847644686698914,2,3,850.0
39,65.0,1,1926,1448,1448,0,False,11800.363837361336,8.149422539614182,8.092663526535034,2,4,850.0
40,70.0,0,1930,1448,1448,0,False,10067.365689396858,6.95260061422435,6.670044660568237,2,4,850.0
41,70.0,1,1909,1440,1440,0,False,12288.272683858871,8.533522697124216,7.706113696098328,3,5,850.0
42,70.0,2,125,74,74,0,False,885.9995715618134,11.972967183267748,11.876880884170532,3,4,850.0
43,75.0,0,2016,1500,1500,0,False,13461.223613500595,8.974149075667063,8.23751699924469,2,4,850.0
44,75.0,1,1908,1440,1440,0,False,12963.966081619263,9.00275422334671,7.936967253684998,2,5,850.0
45,75.0,2,173,102,102,0,False,1409.645016670227,13.820049183041442,12.560719013214111,2,4,850.0
46,80.0,0,1878,1446,1446,0,False,17203.829419612885,11.897530718957734,10.602411031723022,4,6,850.0
47,80.0,1,2030,1440,1440,0,False,13816.532604932785,9.594814308981102,8.380333304405212,4,5,850.0
48,85.0,0,749,504,504,0,False,9762.755952179432,19.370547524165538,21.11569619178772,5,7,850.0
49,85.0,1,2719,1842,1842,0,False,24417.892163157463,13.256184670552368,12.370304584503174,7,9,850.0
50,85.0,2,591,374,374,0,False,5002.700910329819,13.376205642593098,12.002347469329834,3,6,850.0
51,90.0,0,61,32,32,0,False,346.93924313783646,10.84185134805739,10.579863429069519,1,2,850.0
52,90.0,1,56,26,26,0,False,241.55952966213226,9.29075114085124,8.54320028424263,1,2,850.0
53,90.0,2,509,336,336,0,False,5589.807108640671,16.63633068047819,14.773350715637207,1,2,850.0
54,90.0,3,351,190,190,0,False,3357.9872596263885,17.673617155928362,18.754472494125366,1,2,850.0
55,90.0,4,135,92,92,0,False,1492.106432914734,16.218548183855802,15.24520492553711,1,1,850.0
56,90.0,5,337,194,194,0,False,3725.6034338474274,19.204141411584676,13.714181661605835,2,5,850.0
57,90.0,6,311,188,188,0,False,1755.4640929698944,9.33757496260582,8.67151927947998,2,2,850.0
58,95.0,0,117,66,66,0,False,833.7427616119385,12.632466085029371,12.257662534713745,1,1,850.0
0,5.0,0,83,80,80,0,False,1117.0897294282913,13.963621617853642,14.968380212783813,2,3,1000.0
1,5.0,1,844,759,759,0,False,10243.435256123543,13.49596212928003,13.182785987854004,3,5,1000.0
2,5.0,2,388,300,300,0,False,4875.208055496216,16.25069351832072,13.553534984588623,2,3,1000.0
3,10.0,0,436,352,352,0,False,5575.164365768433,15.838535130023956,14.202585935592651,1,1,1000.0
4,10.0,1,113,73,73,0,False,799.399786323309,10.95068200442889,11.610573291778564,2,4,1000.0
5,10.0,2,61,29,29,0,False,323.9087111055851,11.16926590019259,10.786395072937012,2,2,1000.0
6,10.0,3,259,177,177,0,False,2874.670917958021,16.24107863253119,14.235880374908447,3,4,1000.0
7,10.0,4,1400,1208,1208,0,False,11750.103545337915,9.726906908392314,9.039455890655518,4,6,1000.0
8,10.0,5,83,60,60,0,False,1404.307993888855,23.405133231480917,23.670676231384277,1,1,1000.0
9,15.0,0,787,613,613,0,False,7171.9806315898895,11.699805271761647,11.473010063171387,2,3,1000.0
10,15.0,1,161,107,107,0,False,912.5190618336201,8.528215531155327,7.748453617095947,3,3,1000.0
11,15.0,2,172,118,118,0,False,1930.1604500710964,16.357291949755055,16.138300895690918,2,5,1000.0
12,15.0,3,303,204,204,0,False,2458.393765717745,12.05094983194973,11.605616569519043,3,4,1000.0
13,15.0,4,1423,1222,1222,0,False,9867.410821706057,8.07480427308188,7.156073331832886,3,5,1000.0
14,20.0,0,988,738,738,0,False,7211.150132417679,9.77120614148737,9.404523611068726,2,3,1000.0
15,20.0,1,229,158,158,0,False,1713.7207446098328,10.84633382664451,9.360597372055054,3,4,1000.0
16,20.0,2,297,222,222,0,False,4283.376352727413,19.294488075348706,15.205620288848877,3,5,1000.0
17,20.0,3,1630,1440,1440,0,False,10953.567616224289,7.606644177933534,7.151586890220642,2,4,1000.0
18,25.0,0,1097,805,805,0,False,6910.389246225357,8.584334467360692,7.634314775466919,2,3,1000.0
19,25.0,1,316,190,190,0,False,2143.6841050982475,11.282547921569725,10.841937780380249,3,4,1000.0
20,25.0,2,389,280,280,0,False,4726.424936413765,16.880089058620587,17.48903799057007,3,4,1000.0
21,25.0,3,1658,1440,1440,0,False,10676.528084039688,7.41425561391645,7.073405504226685,2,3,1000.0
22,30.0,0,1897,1442,1442,0,False,14070.422643661499,9.75757464886373,8.60997474193573,4,5,1000.0
23,30.0,1,1704,1440,1440,0,False,11423.92337679863,7.933280122776826,7.928170442581177,2,2,1000.0
24,35.0,0,1862,1442,1442,0,False,12954.18092417717,8.983481916905111,8.616560220718384,2,3,1000.0
25,35.0,1,1710,1440,1440,0,False,12518.240426540375,8.693222518430815,8.418841123580933,2,2,1000.0
26,40.0,0,1840,1440,1440,0,False,13733.05253481865,9.536842038068507,8.40558385848999,2,3,1000.0
27,40.0,1,1684,1440,1440,0,False,13452.560653686523,9.34205600950453,8.866700768470764,2,3,1000.0
28,45.0,0,1832,1440,1440,0,False,14570.262955188751,10.118238163325522,8.887669086456299,2,4,1000.0
29,45.0,1,1680,1440,1440,0,False,13318.66759133339,9.249074716203742,8.877920031547546,2,3,1000.0
30,50.0,0,1762,1440,1440,0,False,12925.6597366333,8.976152594884237,8.174899578094482,2,3,1000.0
31,50.0,1,1658,1440,1440,0,False,12152.449192762375,8.439200828307206,8.107279419898987,2,3,1000.0
32,55.0,0,1790,1440,1440,0,False,11511.511519432068,7.994105221827825,8.027392148971558,2,2,1000.0
33,55.0,1,1663,1440,1440,0,False,11352.152917861938,7.883439526293013,7.684213280677795,2,2,1000.0
34,60.0,0,1816,1440,1440,0,False,11054.769633293152,7.676923356453577,7.353739023208618,2,3,1000.0
35,60.0,1,1660,1440,1440,0,False,11504.325728654861,7.989115089343654,8.205371856689453,2,2,1000.0
36,65.0,0,1826,1440,1440,0,False,10915.984253525734,7.580544620503982,7.1931164264678955,2,4,1000.0
37,65.0,1,1670,1440,1440,0,False,12407.95985507965,8.616638788249757,8.518744945526123,2,3,1000.0
38,70.0,0,1818,1440,1440,0,False,11171.31426525116,7.757857128646639,7.277707815170288,2,2,1000.0
39,70.0,1,1664,1440,1440,0,False,13219.822411298752,9.180432230068577,8.921948075294495,2,3,1000.0
40,75.0,0,1772,1440,1440,0,False,11971.100069999695,8.313263937499787,8.030734300613403,2,3,1000.0
41,75.0,1,1674,1440,1440,0,False,13477.565643787384,9.359420585963461,8.61685299873352,2,3,1000.0
42,80.0,0,1848,1476,1476,0,False,15273.164878368378,10.347672681821393,9.79020071029663,3,5,1000.0
43,80.0,1,1876,1440,1440,0,False,14350.490033864975,9.965618079072899,8.661730766296387,3,6,1000.0
44,85.0,0,841,672,672,0,False,12419.594567328691,18.481539534715314,14.927970886230469,4,7,1000.0
45,85.0,1,3427,2416,2416,0,False,30739.072819441557,12.723126166987399,11.25334918498993,5,8,1000.0
46,90.0,0,141,88,88,0,False,1278.4319245517254,14.527635506269606,14.430054187774658,2,2,1000.0
47,90.0,1,1491,1068,1068,0,False,13650.311677783728,12.781190709535325,12.889352321624756,2,6,1000.0
48,90.0,2,621,446,446,0,False,6389.9403421878815,14.327220498179106,13.310905694961548,2,4,1000.0
49,95.0,0,487,276,276,0,False,3981.914805650711,14.427227556705475,13.613647699356079,1,2,1000.0
50,95.0,1,191,132,132,0,False,2311.0175523757935,17.507708730119646,16.835252285003662,1,1,1000.0
